,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
551,"Aguirre, Wrath of God",https://www.imdb.com//title/tt0068182/,1972,7.9,95,"['Action', 'Adventure', 'Biography']",53566,,,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
552,Harold and Maude,https://www.imdb.com//title/tt0067185/,1971,7.9,91,"['Comedy', 'Drama', 'Romance']",72188,62.0,,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
553,Patton,https://www.imdb.com//title/tt0066206/,1970,7.9,172,"['Biography', 'Drama', 'War']",95127,91.0,$61.70M,The World War II phase of the career of controversial American general George S. Patton.
554,The Wild Bunch,https://www.imdb.com//title/tt0065214/,1969,7.9,145,"['Action', 'Adventure', 'Western']",78800,97.0,$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
555,Night of the Living Dead,https://www.imdb.com//title/tt0063350/,1968,7.9,96,"['Horror', 'Thriller']",119196,89.0,$0.09M,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
556,The Lion in Winter,https://www.imdb.com//title/tt0063227/,1968,7.9,134,"['Biography', 'Drama', 'History']",29531,,$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
557,In the Heat of the Night,https://www.imdb.com//title/tt0061811/,1967,7.9,110,"['Crime', 'Drama', 'Mystery']",69374,75.0,$24.38M,A black police detective is asked to investigate a murder in a racially hostile southern town.
558,Charade,https://www.imdb.com//title/tt0056923/,1963,7.9,113,"['Comedy', 'Mystery', 'Romance']",71110,83.0,$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
559,The Manchurian Candidate,https://www.imdb.com//title/tt0056218/,1962,7.9,126,"['Drama', 'Thriller']",72242,94.0,,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
560,Spartacus,https://www.imdb.com//title/tt0054331/,1960,7.9,197,"['Adventure', 'Biography', 'Drama']",126385,87.0,$30.00M,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
561,L'Avventura,https://www.imdb.com//title/tt0053619/,1960,7.9,144,"['Drama', 'Mystery', 'Romance']",27343,,,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
562,Hiroshima Mon Amour,https://www.imdb.com//title/tt0052893/,1959,7.9,90,"['Drama', 'Romance']",29330,,$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
563,The Ten Commandments,https://www.imdb.com//title/tt0049833/,1956,7.9,220,"['Adventure', 'Drama']",65920,,$93.74M,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people."
564,The Searchers,https://www.imdb.com//title/tt0049730/,1956,7.9,119,"['Adventure', 'Drama', 'Western']",82204,94.0,,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.
565,East of Eden,https://www.imdb.com//title/tt0048028/,1955,7.9,118,['Drama'],41391,72.0,,"Two brothers struggle to maintain their strict, Bible-toting father's favor."
566,Harvey,https://www.imdb.com//title/tt0042546/,1950,7.9,104,"['Comedy', 'Drama', 'Fantasy']",53155,,,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
567,Miracle on 34th Street,https://www.imdb.com//title/tt0039628/,1947,7.9,96,"['Comedy', 'Drama', 'Family']",42115,88.0,$2.65M,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
568,The Big Sleep,https://www.imdb.com//title/tt0038355/,1946,7.9,114,"['Crime', 'Film-Noir', 'Mystery']",79876,,$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
569,The Lost Weekend,https://www.imdb.com//title/tt0037884/,1945,7.9,101,"['Drama', 'Film-Noir']",34303,,$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
570,The Philadelphia Story,https://www.imdb.com//title/tt0032904/,1940,7.9,112,"['Comedy', 'Romance']",64793,96.0,,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
571,His Girl Friday,https://www.imdb.com//title/tt0032599/,1940,7.9,92,"['Comedy', 'Drama', 'Romance']",54758,,$0.30M,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
572,Stagecoach,https://www.imdb.com//title/tt0031971/,1939,7.9,96,"['Adventure', 'Drama', 'Western']",44972,93.0,,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
573,Bringing Up Baby,https://www.imdb.com//title/tt0029947/,1938,7.9,102,"['Comedy', 'Family', 'Romance']",56286,91.0,,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
574,The Adventures of Robin Hood,https://www.imdb.com//title/tt0029843/,1938,7.9,102,"['Action', 'Adventure', 'Romance']",47975,97.0,$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
