,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
82,Witness for the Prosecution,https://www.imdb.com//title/tt0051201/,1957,8.4,116,"['Crime', 'Drama', 'Mystery']",112614,,$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
83,Paths of Glory,https://www.imdb.com//title/tt0050825/,1957,8.4,88,"['Drama', 'War']",182849,90,,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
84,Sunset Blvd.,https://www.imdb.com//title/tt0043014/,1950,8.4,110,"['Drama', 'Film-Noir']",206200,,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
85,The Great Dictator,https://www.imdb.com//title/tt0032553/,1940,8.4,125,"['Comedy', 'Drama', 'War']",207713,,$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
86,Chhichhore,https://www.imdb.com//title/tt9052870/,2019,8.3,143,"['Comedy', 'Drama']",38752,,$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
87,1917,https://www.imdb.com//title/tt8579674/,2019,8.3,119,"['Drama', 'Thriller', 'War']",467339,78,$159.23M,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
88,Tumbbad,https://www.imdb.com//title/tt8239946/,2018,8.3,104,"['Drama', 'Fantasy', 'Horror']",33139,,,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
89,Drishyam,https://www.imdb.com//title/tt3417422/,2013,8.3,160,"['Crime', 'Drama', 'Thriller']",36414,,,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
90,The Hunt,https://www.imdb.com//title/tt2106476/,2012,8.3,115,['Drama'],294715,77,$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
91,A Separation,https://www.imdb.com//title/tt1832382/,2011,8.3,123,['Drama'],226188,95,$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
92,Incendies,https://www.imdb.com//title/tt1255953/,2010,8.3,131,"['Drama', 'Mystery', 'War']",156671,80,$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
93,Dara of Jasenovac,https://www.imdb.com//title/tt10554232/,2020,8.3,130,"['Drama', 'War']",34848,,,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
94,The Father,https://www.imdb.com//title/tt10272386/,2020,8.3,97,['Drama'],71972,88,,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
95,My Father and My Son,https://www.imdb.com//title/tt0476735/,2005,8.3,112,"['Drama', 'Family']",81309,,,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
96,Inglourious Basterds,https://www.imdb.com//title/tt0361748/,2009,8.3,153,"['Adventure', 'Drama', 'War']",1304670,69,$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
97,Eternal Sunshine of the Spotless Mind,https://www.imdb.com//title/tt0338013/,2004,8.3,108,"['Drama', 'Romance', 'Sci-Fi']",931530,89,$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
98,Amï¿½ï¿,https://www.imdb.com//title/tt0211915/,2001,8.3,122,"['Comedy', 'Romance']",715616,69,$33.23M,"Amï¿½ï¿½lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers l"
99,Snatch,https://www.imdb.com//title/tt0208092/,2000,8.3,104,"['Comedy', 'Crime']",797677,,$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
